what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1340813273653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340813276438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340813280059
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1340813281152
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340813281697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813297412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813332424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340813332838
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1340813338854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340813339351
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1340813341386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813351836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813353668
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1340813358028
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1340813372129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813388443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813389972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813392776
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1340813397170
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813402492
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1340813406928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813540913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813574126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813596259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813609597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813614747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813615980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813668999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813742418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813762413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813763043
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1340813763962
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1340813768481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813770923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813773766
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1340813776552
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1340813811823
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1340813836993
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1340813837953
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1340813838604
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1340813839017
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1340813839741
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1340813839966
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1340813840491
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1340813844468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813846354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340813848323
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1340813848362
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1340813851033
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1340813867089
